Sample Name,Collection Date/Time,Extraction Date,Species,Location,Site,Proximity,SVL (mm),Initial Weight (g),Extracted Weight (g),Concentrated (mL),Sex,Instrument,GC-MS,GCxGC-TOF,GC-qTOF,Pesticides,Comments
Tifton- Bt 1,4/30/13 drift fence,5/8/2013,Bufo terrestris,Tifton,Tifton,Edge,49,13.5974,5.2232,7,M,LC/MS triple,,,,,
Tifton- Bt 2,4/30/13 drift fence,5/8/2013,Bufo terrestris,Tifton,Tifton,Edge,54,20.226,5.3385,8,GF,LC/MS triple,,,,,
Tifton- Bt 3,5/14/13 pm,5/20/2013,Bufo terrestris,Tifton,Tifton,Edge,54,20.929,5.5343,7,,LC/MS triple,,,,,
Tifton- Bt 4,5/14/13 pm,5/20/2013,Bufo terrestris,Tifton,Tifton,Edge,51,16.8748,5.3574,8,,LC/MS triple,,,,,
Tifton- Bt 5,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,50,12.1218,5.1335,8,,,X,,,,
Tifton- Bt 6,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,51,13.98,5.6012,8,,,X,,,,
Tifton- Bt 7,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,60,19.2257,4.8016,8,,,X,,,,
Tifton- Bt 8,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,53,17.5195,5.0309,8,,,X,,,,
Tifton- Bt 9,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,57,15.431,5.1977,8,GF,,X,,,,
Tifton- Bt 10,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,69,31.01,5.3103,8,GF,,X,,,,
Tifton- Bt 11,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,58,22.4491,5.4846,8,,,X,,,,
Tifton- Bt 12,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,52,15.2727,5.0178,8,,,X,,,,
Tifton- Bt 13,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,48,9.4452,5.1575,8,,,X,,,,
Tifton- Bt 14,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,52,12.7846,5.0499,8,,,X,,,,
Tifton- Bt 10 eggs,6/3/13 pm,6/10/2013,Bufo terrestris,Tifton,Tifton,Edge,,8.1779,8.1779,8,,,,,,,
Tifton- Bt 15,7/10/2013 pm,7/11/2013,Bufo terrestris,Tifton,Tifton,Edge,67,39.6248,9.5206,8,,,X,,,,
Tifton- Bt 16,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,49,11.9576,9.9875,8,,,X,,,,
Tifton- Bt 17,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,50,19.9169,5.7185,8,,,X,,,,
Tifton- Bt 18,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,39,6.3136,6.3136,8,,,X,,,,
Tifton- Bt 19,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,48,11.5235,8.9162,8,,,X,,,,
Tifton- Bt 20,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,36,7.0143,7.0143,8,,,X,,,,
Tifton- Bt 21,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,37,5.122,5.122,8,,,X,,,,
Tifton- Bt 22,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,37,5.2576,5.2576,8,,,X,,,,
Tifton- Bt 23,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,38,7.3042,7.3042,8,,,X,,,,
Tifton- Bt 24,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,60,24.21,6.5033,8,,,X,,,,
Tifton- Bt 25,7/10/2013 pm,7/12/2013,Bufo terrestris,Tifton,Tifton,Edge,48,14.329,6.6391,8,,,X,,,,
Tifton- HC 1,5/14/13 pm,5/20/2013,Hyla cinerea,Tifton,Tifton,Edge,39,2.593,3.156,8,,LC/MS triple,,,,,
Tifton- HC 2,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,43,4.781,4.781,8,,,X,,,,
Tifton- HC 3,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,45,5.5564,5.5564,8,,,X,,,,
Tifton- HC 4,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,49,6.1165,6.1165,8,,,X,,,,
Tifton- HC 5,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,46,4.695,4.695,8,,,X,,,,
Tifton- HC 6,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,42,4.3641,4.3641,8,,,X,,,,
Tifton- HC 7,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,45,5.1735,5.1735,8,,,X,,,,
Tifton- HC 8,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,50,7.0613,7.0613,8,,,X,,,,
Tifton- HC 9,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,51,7.6395,7.6395,8,,,X,,,,
Tifton- HC 10,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,52,5.5267,5.5267,8,,,X,,,,
Tifton- HC 11,6/3/13 pm,6/10/2013,Hyla cinerea,Tifton,Tifton,Edge,55,8.046,8.046,8,,,X,,,,
Tifton- HC 12,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,49,5.3503,5.3503,8,,,X,,,,
Tifton- HC 13,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,51,7.4288,7.4288,8,,,X,,,,
Tifton- HC 14,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,51,4.974,4.974,8,,,X,,,,
Tifton- HC 15,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,47,4.2903,4.2903,8,,,X,,,,
Tifton- HC 16,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,45,5.094,5.094,8,,,X,,,,
Tifton- HC 17,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,44,4.19,4.19,8,,,X,,,,
Tifton- HC 18,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,39,3.234,3.234,8,GF,,X,,,,
Tifton- HC 19,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,46,5.328,5.328,8,,,X,,,,
Tifton- HC 20,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,44,4.396,4.396,8,,,X,,,,
Tifton- HC 21,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,41,3.419,3.419,8,,,X,,,,
Tifton- HC 22,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,47,6.1167,6.1167,8,,,X,,,,
Tifton- HC 23,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,49,6.7078,6.7078,8,GF,,X,,,,
Tifton- HC 24,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,48,5.858,5.858,8,,,X,,,,
Tifton- HC 25,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,32,1.6811,1.6811,8,,,X,,,,
Tifton- HC 26,7/10/2013 pm,7/12/2013,Hyla cinerea,Tifton,Tifton,Edge,46,4.439,4.439,8,,,X,,,,
Tifton- Sq 1,5/14/13 pm,5/20/2013,Hyla squirella,Tifton,Tifton,Edge,21,0.7777,with above T HC 1,,,LC/MS triple,,,,,
Tifton- HV 1,5/14/13 pm,5/20/2013,Hyla versicolor,Tifton,Tifton,Edge,31,4.0506,4.011,8,,LC/MS triple,,,,,
Tifton- Bull 1,5/14/13 pm,5/20/2013,Rana catesbeana,Tifton,Tifton,Edge,72,49.332,5.1705,5,,LC/MS triple,,,,,
Tifton- Bull 2,5/14/13 pm,5/20/2013,Rana catesbeana,Tifton,Tifton,Edge,60,34.626,5.42,8,,LC/MS triple,,,,,
Tifton- Bull 5,6/3/2013 pm,6/19/2013,Rana catesbeana,Tifton,Tifton,Edge,61,22.368,9.3147,8,,,X,,,,
Tifton- Bull 6,6/3/2013 pm,6/19/2013,Rana catesbeana,Tifton,Tifton,Edge,68,21.58,9.3114,8,,,X,,,,
 Tifton- Bull 7,6/3/2013 pm,6/19/2013,Rana catesbeana,Tifton,Tifton,Edge,88,55.497,9.0503,8,,,X,,,,
Tifton- LF 1,5/14/13 pm,5/20/2013,Rana sphenocephala,Tifton,Tifton,Edge,65,35.1003,5.2284,7,GF,LC/MS triple,,,,,
Tifton- LF 2,5/14/13 pm,5/20/2013,Rana sphenocephala,Tifton,Tifton,Edge,62,30.6015,5.2988,7,,LC/MS triple,,,,,
Tifton- LF 3,5/14/13 pm,5/20/2013,Rana sphenocephala,Tifton,Tifton,Edge,49,15.143,5.5485,7,,LC/MS triple,,,,,
Tifton- Tadpoles 1,5/14/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,9.6376,9.6376,8,,LC/MS triple,,,,,
Tifton- Tadpoles 2,5/14/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,10.4808,10.4808,8,,LC/MS triple,,,,,
Tifton- Tadpoles 3,5/14/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,10.7001,10.7001,8,,LC/MS triple,,,,,
Tifton- Tadpoles 4,5/14/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,10.4005,10.4005,8,,LC/MS triple,,,,,
Tifton- Tadpoles 5,5/14/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,8.1292,8.1292,8,,LC/MS triple,X,,,,
Tifton- Tadpoles 6,5/14/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,9.7426,9.7426,8,,LC/MS triple,X,,,,
Tifton- Tadpoles 7,6/3/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,10.7885,10.7885,8,,LC/MS triple,X,,,,
Tifton- Tadpoles 8,6/3/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,10.2143,10.2143,8,,LC/MS triple,X,,,,
Tifton- Tadpoles 9,6/3/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,10.1063,10.1063,8,,LC/MS triple,X,,,,
Tifton- Tadpoles 10,6/3/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,10.8348,10.8348,8,,LC/MS triple,X,,,,
Tifton- Tadpoles 11,6/3/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,7.0643,7.0643,8,,LC/MS triple,X,,,,
Tifton- Tadpoles 12,6/3/13 pm,6/6/2013,Rana sphenocephala,Tifton,Tifton,Edge,-,7.3923,7.3923,8,,LC/MS triple,X,,,,
1- Bt 1,4/13/13 pm,4/29/2013,Bufo terrestris,JJERC,1,Edge,70.0,26.698,5.816,7,M,Both LC/MS,,,,,
1- Bt 2,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,43,10.6034,5.0308,8,M,LC/MS triple,,,,,
1- Bt 3,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,47,13.771,5.1693,8,M,LC/MS triple,,,,,
1- Bt 4,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,52.5,11.6409,5.0817,7,GF,LC/MS triple,,,,,
1- Bt 5,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,49,12.1676,5.4847,7,F,LC/MS triple,,,,,
1- Bt 6,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,51,11.3969,5.132,8,F,LC/MS triple,,,,,
1- Bt 7,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,51,12.4915,5.2719,7,M,LC/MS triple,,,,,
1- Bt 8,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,48,13.1412,5.2425,8,M,LC/MS triple,,,,,
1- Bt 9,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,46,10.5837,5.3704,7,F,LC/MS triple,,,,,
1- Bt 10,4/16/13 pm,5/7/2013,Bufo terrestris,JJERC,1,Edge,51,13.1735,5.6496,7,M,LC/MS triple,,,,,
 1- HV 1,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,37,3.8357,3.8357,8,,,,,,,
 1- HV 2,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,46,5.9812,5.9812,8,,,,,,,
 1- HV 3,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,45,4.8633,4.8633,8,,,,,,,
 1- HV 4,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,44,5.609,5.609,8,,,,,,,
 1- HV 5,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,47,5.0805,5.0805,8,,,,,,,
 1- HV 6,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,43,5.785,5.785,8,,,,,,,
 1- HV 7,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,43,6.2168,6.2168,8,,,,,,,
 1- HV 8,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,44,5.3728,5.3728,8,,,,,,,
 1- HV 9,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,46,4.87,4.87,8,,,,,,,
 1- HV 10,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,45,4.9238,4.9238,8,,,,,,,
 1- HV 11,6/11/13 pm,6/13/2013,Hyla versicolor,JJERC,1,Edge,48,4.8345,4.8345,8,,,,,,,
12- Bt 1,4/16/13 pm,4/29/2013,Bufo terrestris,JJERC,12,Edge,62.5,17.766,5.8305,7,M,Both LC/MS,,,,,
12- Bt 2,4/15/13 drift fence,5/9/2013,Bufo terrestris,JJERC,12,Edge,58,21.7167,5.2205,8,M,LC/MS triple,,,,,
12- Bt 3,4/16/13 pm,5/9/2013,Bufo terrestris,JJERC,12,Edge,52,14.944,5.3618,8,M,LC/MS triple,,,,,
12- Bt 4,4/16/13 pm,5/9/2013,Bufo terrestris,JJERC,12,Edge,53,18.1375,5.1822,8,M,LC/MS triple,,,,,
12- Bt 5,4/16/13 pm,5/9/2013,Bufo terrestris,JJERC,12,Edge,51.5,15.5531,5.0613,8,M,LC/MS triple,,,,,
12- Bt 6,4/16/13 pm,5/9/2013,Bufo terrestris,JJERC,12,Edge,56,17.3052,5.2584,8,M,LC/MS triple,,,,,
12- Bt 7,4/16/13 pm,5/9/2013,Bufo terrestris,JJERC,12,Edge,52,13.3806,5.231,8,M,LC/MS triple,,,,,
12- Bt 8,4/16/13 pm,5/9/2013,Bufo terrestris,JJERC,12,Edge,57,19.4946,5.011,8,M,LC/MS triple,,,,,
12- Bt 9,4/16/13 pm,5/9/2013,Bufo terrestris,JJERC,12,Edge,59,17.2072,5.0613,8,M,LC/MS triple,,,,,
12- Bt 10,4/16/13 pm,5/9/2013,Bufo terrestris,JJERC,12,Edge,49,13.3243,5.035,7,M,LC/MS triple,,,,,
12- HC 1,5/15/13 pm,5/30/2013,Hyla cinerea,JJERC,12,Edge,52,8.1791,8.1791,8,,LC/MS triple,,,,,
12- HC 1,6/11/13 pm,6/18/2013,Hyla cinerea,JJERC,12,Edge,52,6.817,6.817,8,,,,,,,
12- HC 2,6/11/13 pm,6/18/2013,Hyla cinerea,JJERC,12,Edge,51,6.346,6.346,8,GF,,,,,,
12- HC 3,6/11/13 pm,6/18/2013,Hyla cinerea,JJERC,12,Edge,49,5.4551,5.4551,8,,,,,,,
12- HC 4,6/11/13 pm,6/18/2013,Hyla cinerea,JJERC,12,Edge,56,8.5422,8.5422,8,GF,,,,,,
